Hinweis IV:050607 bedeutet IV[0]=05,IV[1]=06,IV[2]=07
IV: 03 FF 00  Schlüsselstrom: FC
IV: 03 FF 30  Schlüsselstrom: F9
IV: 03 FF 31  Schlüsselstrom: 99
IV: 03 FF 32  Schlüsselstrom: 03
IV: 03 FF 33  Schlüsselstrom: B1
IV: 03 FF 34  Schlüsselstrom: 63
IV: 03 FF 35  Schlüsselstrom: 94
IV: 03 FF 36  Schlüsselstrom: 02
IV: 03 FF 37  Schlüsselstrom: 40
IV: 03 FF 38  Schlüsselstrom: C8
IV: 03 FF 39  Schlüsselstrom: B2
IV: 03 FF 3A  Schlüsselstrom: 8A
IV: 03 FF 3B  Schlüsselstrom: B1
IV: 03 FF 3C  Schlüsselstrom: 55
IV: 03 FF 3D  Schlüsselstrom: 3F
IV: 03 FF 3E  Schlüsselstrom: 39
IV: 03 FF 3F  Schlüsselstrom: BE
IV: 03 FF 40  Schlüsselstrom: 47
IV: 03 FF 41  Schlüsselstrom: C1
IV: 03 FF 42  Schlüsselstrom: E2
IV: 03 FF 43  Schlüsselstrom: 9B
IV: 03 FF 44  Schlüsselstrom: 6D
IV: 03 FF 45  Schlüsselstrom: 02
IV: 03 FF 46  Schlüsselstrom: 53
IV: 03 FF 47  Schlüsselstrom: 9B
IV: 03 FF 48  Schlüsselstrom: 93
IV: 03 FF 49  Schlüsselstrom: AA
IV: 03 FF 4A  Schlüsselstrom: 37
IV: 03 FF 4B  Schlüsselstrom: 05
IV: 03 FF 4C  Schlüsselstrom: 9D
IV: 03 FF 4D  Schlüsselstrom: 46
IV: 03 FF 4E  Schlüsselstrom: D4
IV: 03 FF 4F  Schlüsselstrom: F7
IV: 03 FF 50  Schlüsselstrom: 3D
IV: 03 FF 51  Schlüsselstrom: 78
IV: 03 FF 52  Schlüsselstrom: 9E
IV: 03 FF 53  Schlüsselstrom: EA
IV: 03 FF 54  Schlüsselstrom: 40
IV: 03 FF 55  Schlüsselstrom: EF
IV: 03 FF 56  Schlüsselstrom: 21
IV: 03 FF 57  Schlüsselstrom: 10
IV: 03 FF 58  Schlüsselstrom: 03
IV: 03 FF 59  Schlüsselstrom: A3
IV: 03 FF 5A  Schlüsselstrom: C8
IV: 03 FF 5B  Schlüsselstrom: B4
IV: 03 FF 5C  Schlüsselstrom: C6
IV: 03 FF 5D  Schlüsselstrom: 01
IV: 03 FF 5E  Schlüsselstrom: 81
IV: 03 FF 5F  Schlüsselstrom: 03
IV: 03 FF 60  Schlüsselstrom: 40
IV: 03 FF 61  Schlüsselstrom: 41
IV: 03 FF 62  Schlüsselstrom: 81
IV: 03 FF 63  Schlüsselstrom: 3B
IV: 03 FF 64  Schlüsselstrom: E3
IV: 03 FF 65  Schlüsselstrom: 1F
IV: 03 FF 66  Schlüsselstrom: B3
IV: 03 FF 67  Schlüsselstrom: 45
IV: 03 FF 68  Schlüsselstrom: E4
IV: 03 FF 69  Schlüsselstrom: 91
IV: 03 FF 6A  Schlüsselstrom: C4
IV: 03 FF 6B  Schlüsselstrom: 0C
IV: 03 FF 6C  Schlüsselstrom: 6D
IV: 03 FF 6D  Schlüsselstrom: 9E
IV: 03 FF 6E  Schlüsselstrom: 06
IV: 03 FF 6F  Schlüsselstrom: ED
IV: 03 FF 70  Schlüsselstrom: 37
IV: 03 FF 71  Schlüsselstrom: 4B
IV: 03 FF 72  Schlüsselstrom: 0B
IV: 03 FF 73  Schlüsselstrom: 03
IV: 03 FF 74  Schlüsselstrom: 69
IV: 03 FF 75  Schlüsselstrom: 51
IV: 03 FF 76  Schlüsselstrom: 9F
IV: 03 FF 77  Schlüsselstrom: 76
IV: 03 FF 78  Schlüsselstrom: 54
IV: 03 FF 79  Schlüsselstrom: 4C
IV: 03 FF 7A  Schlüsselstrom: 95
IV: 03 FF 7B  Schlüsselstrom: 95
IV: 03 FF 7C  Schlüsselstrom: C2
IV: 03 FF 7D  Schlüsselstrom: 14
IV: 03 FF 7E  Schlüsselstrom: 06
IV: 03 FF 7F  Schlüsselstrom: 52
IV: 03 FF 80  Schlüsselstrom: 41
IV: 03 FF 81  Schlüsselstrom: 39
IV: 03 FF 82  Schlüsselstrom: BA
IV: 03 FF 83  Schlüsselstrom: 26
IV: 03 FF 84  Schlüsselstrom: 4F
IV: 03 FF 85  Schlüsselstrom: 18
IV: 03 FF 86  Schlüsselstrom: 55
IV: 03 FF 87  Schlüsselstrom: A1
IV: 03 FF 88  Schlüsselstrom: 1A
IV: 03 FF 89  Schlüsselstrom: AA
IV: 03 FF 8A  Schlüsselstrom: 1E
IV: 03 FF 8B  Schlüsselstrom: 43
IV: 03 FF 8C  Schlüsselstrom: 39
IV: 03 FF 8D  Schlüsselstrom: D8
IV: 03 FF 8E  Schlüsselstrom: EC
IV: 03 FF 8F  Schlüsselstrom: 49
IV: 03 FF 90  Schlüsselstrom: 20
IV: 03 FF 91  Schlüsselstrom: 7D
IV: 03 FF 92  Schlüsselstrom: 65
IV: 03 FF 93  Schlüsselstrom: DC
IV: 03 FF 94  Schlüsselstrom: 2B
IV: 03 FF 95  Schlüsselstrom: AF
IV: 03 FF 96  Schlüsselstrom: 9E
IV: 03 FF 97  Schlüsselstrom: EE
IV: 03 FF 98  Schlüsselstrom: 7B
IV: 03 FF 99  Schlüsselstrom: AA
IV: 03 FF 9A  Schlüsselstrom: E3
IV: 03 FF 9B  Schlüsselstrom: CE
IV: 03 FF 9C  Schlüsselstrom: 80
IV: 03 FF 9D  Schlüsselstrom: 2D
IV: 03 FF 9E  Schlüsselstrom: 52
IV: 03 FF 9F  Schlüsselstrom: CB
IV: 03 FF A0  Schlüsselstrom: 02
IV: 03 FF A1  Schlüsselstrom: 03
IV: 03 FF A2  Schlüsselstrom: E7
IV: 03 FF A3  Schlüsselstrom: 94
IV: 03 FF A4  Schlüsselstrom: 83
IV: 03 FF A5  Schlüsselstrom: C1
IV: 03 FF A6  Schlüsselstrom: 33
IV: 03 FF A7  Schlüsselstrom: 3D
IV: 03 FF A8  Schlüsselstrom: CC
IV: 03 FF A9  Schlüsselstrom: 99
IV: 03 FF AA  Schlüsselstrom: 39
IV: 03 FF AB  Schlüsselstrom: 02
IV: 03 FF AC  Schlüsselstrom: E4
IV: 03 FF AD  Schlüsselstrom: 47
IV: 03 FF AE  Schlüsselstrom: 03
IV: 03 FF AF  Schlüsselstrom: 36
IV: 03 FF B0  Schlüsselstrom: D1
IV: 03 FF B1  Schlüsselstrom: 72
IV: 03 FF B2  Schlüsselstrom: 38
IV: 03 FF B3  Schlüsselstrom: 34
IV: 03 FF B4  Schlüsselstrom: 9F
IV: 03 FF B5  Schlüsselstrom: 34
IV: 03 FF B6  Schlüsselstrom: 80
IV: 03 FF B7  Schlüsselstrom: 8F
IV: 03 FF B8  Schlüsselstrom: 37
IV: 03 FF B9  Schlüsselstrom: F0
IV: 03 FF BA  Schlüsselstrom: 03
IV: 03 FF BB  Schlüsselstrom: B4
IV: 03 FF BC  Schlüsselstrom: 6F
IV: 03 FF BD  Schlüsselstrom: 02
IV: 03 FF BE  Schlüsselstrom: 7B
IV: 03 FF BF  Schlüsselstrom: 02
IV: 03 FF C0  Schlüsselstrom: 30
IV: 03 FF C1  Schlüsselstrom: D1
IV: 03 FF C2  Schlüsselstrom: CC
IV: 03 FF C3  Schlüsselstrom: F1
IV: 03 FF C4  Schlüsselstrom: 6E
IV: 03 FF C5  Schlüsselstrom: 02
IV: 03 FF C6  Schlüsselstrom: D1
IV: 03 FF C7  Schlüsselstrom: A1
IV: 03 FF C8  Schlüsselstrom: 99
IV: 03 FF C9  Schlüsselstrom: C2
IV: 03 FF CA  Schlüsselstrom: FE
IV: 03 FF CB  Schlüsselstrom: 15
IV: 03 FF CC  Schlüsselstrom: 18
IV: 03 FF CD  Schlüsselstrom: CA
IV: 03 FF CE  Schlüsselstrom: BA
IV: 03 FF CF  Schlüsselstrom: 01
IV: 03 FF D0  Schlüsselstrom: CE
IV: 03 FF D1  Schlüsselstrom: 44
IV: 03 FF D2  Schlüsselstrom: 6D
IV: 03 FF D3  Schlüsselstrom: C7
IV: 03 FF D4  Schlüsselstrom: 52
IV: 03 FF D5  Schlüsselstrom: 32
IV: 03 FF D6  Schlüsselstrom: CE
IV: 03 FF D7  Schlüsselstrom: 1C
IV: 03 FF D8  Schlüsselstrom: B0
IV: 03 FF D9  Schlüsselstrom: 33
IV: 03 FF DA  Schlüsselstrom: 88
IV: 03 FF DB  Schlüsselstrom: 6C
IV: 03 FF DC  Schlüsselstrom: B0
IV: 03 FF DD  Schlüsselstrom: 02
IV: 03 FF DE  Schlüsselstrom: 20
IV: 03 FF DF  Schlüsselstrom: B3
IV: 03 FF E0  Schlüsselstrom: F0
IV: 03 FF E1  Schlüsselstrom: BE
IV: 03 FF E2  Schlüsselstrom: 51
IV: 03 FF E3  Schlüsselstrom: 36
IV: 03 FF E4  Schlüsselstrom: 43
IV: 03 FF E5  Schlüsselstrom: 3E
IV: 03 FF E6  Schlüsselstrom: 5E
IV: 03 FF E7  Schlüsselstrom: 4E
IV: 03 FF E8  Schlüsselstrom: 02
IV: 03 FF E9  Schlüsselstrom: 55
IV: 03 FF EA  Schlüsselstrom: C6
IV: 03 FF EB  Schlüsselstrom: 44
IV: 03 FF EC  Schlüsselstrom: 02
IV: 03 FF ED  Schlüsselstrom: 2D
IV: 03 FF EE  Schlüsselstrom: D3
IV: 03 FF EF  Schlüsselstrom: 45
IV: 03 FF F0  Schlüsselstrom: 3A
IV: 03 FF F1  Schlüsselstrom: 02
IV: 03 FF F2  Schlüsselstrom: 0A
IV: 03 FF F3  Schlüsselstrom: D2
IV: 03 FF F4  Schlüsselstrom: E6
IV: 03 FF F5  Schlüsselstrom: CC
IV: 03 FF F6  Schlüsselstrom: 91
IV: 03 FF F7  Schlüsselstrom: 1F
IV: 03 FF F8  Schlüsselstrom: FF
IV: 03 FF F9  Schlüsselstrom: DD
IV: 03 FF FA  Schlüsselstrom: A3
IV: 03 FF FB  Schlüsselstrom: C8
IV: 03 FF FC  Schlüsselstrom: 6F
IV: 03 FF FD  Schlüsselstrom: D4
IV: 03 FF FE  Schlüsselstrom: 51
IV: 03 FF FF  Schlüsselstrom: 34
